server,threads,concurrency,rps,avg_latency_ms,p99_latency_ms
chaoxi,1,1,27222.0,0.00,0.20
chaoxi,1,10,95980.9,0.10,0.30
chaoxi,1,50,120692.9,0.40,1.70
chaoxi,1,100,107379.4,0.90,3.50
chaoxi,1,500,126651.9,3.90,13.30
chaoxi,1,1000,117685.8,8.20,25.30
chaoxi,1,1500,139595.7,10.30,32.90
chaoxi,1,2000,130384.2,14.50,38.00
chaoxi,2,1,27837.4,0.00,0.20
chaoxi,2,10,142405.3,0.10,0.30
chaoxi,2,50,141859.0,0.30,1.80
chaoxi,2,100,159989.6,0.60,3.00
chaoxi,2,500,170728.2,2.90,15.20
chaoxi,2,1000,195791.5,4.90,18.40
chaoxi,2,1500,196242.5,7.10,34.20
chaoxi,2,2000,175445.3,10.40,32.40
chaoxi,4,1,25380.2,0.00,0.20
chaoxi,4,10,132047.5,0.10,0.30
chaoxi,4,50,220048.3,0.20,1.70
chaoxi,4,100,224014.3,0.40,3.50
chaoxi,4,500,248246.0,1.90,17.00
chaoxi,4,1000,220050.6,4.10,35.10
chaoxi,4,1500,222864.0,6.00,48.40
chaoxi,4,2000,207810.0,8.40,67.10
chaoxi,8,1,29365.2,0.00,0.20
chaoxi,8,10,157404.8,0.10,0.20
chaoxi,8,50,230226.8,0.20,1.60
chaoxi,8,100,220399.6,0.40,3.60
chaoxi,8,500,229410.5,2.10,17.80
chaoxi,8,1000,220379.2,4.00,32.30
chaoxi,8,1500,231314.1,5.70,45.20
chaoxi,8,2000,213403.2,8.30,69.90
chaoxi,16,1,33513.7,0.00,0.10
chaoxi,16,10,146792.5,0.10,0.20
chaoxi,16,50,276511.2,0.20,1.30
chaoxi,16,100,249304.8,0.40,3.20
chaoxi,16,500,228148.7,2.10,16.90
chaoxi,16,1000,172077.4,5.20,40.10
chaoxi,16,1500,168534.6,7.80,61.80
chaoxi,16,2000,169414.1,10.30,81.80
