server,threads,concurrency,rps,avg_latency_ms,p99_latency_ms
muduo,1,1,30756.3,0.00,0.10
muduo,1,10,118950.3,0.10,0.20
muduo,1,50,134840.1,0.40,1.30
muduo,1,100,125802.2,0.80,2.40
muduo,1,500,134787.6,3.70,9.90
muduo,1,1000,129435.5,7.50,15.80
muduo,1,1500,118672.5,12.20,30.90
muduo,1,2000,116601.7,16.60,48.30
muduo,2,1,31723.8,0.00,0.10
muduo,2,10,165238.9,0.10,0.20
muduo,2,50,183383.8,0.30,1.30
muduo,2,100,170160.5,0.60,2.50
muduo,2,500,168454.9,2.80,10.90
muduo,2,1000,155831.3,6.10,23.80
muduo,2,1500,148579.8,9.40,24.90
muduo,2,2000,144668.7,12.90,37.70
muduo,4,1,22996.2,0.00,0.20
muduo,4,10,104056.3,0.10,0.40
muduo,4,50,223908.6,0.20,1.40
muduo,4,100,231288.1,0.40,2.90
muduo,4,500,231847.9,2.00,15.60
muduo,4,1000,213889.0,4.20,33.50
muduo,4,1500,220617.1,6.00,50.60
muduo,4,2000,192785.6,8.90,68.00
muduo,8,1,22784.6,0.00,0.20
muduo,8,10,114542.0,0.10,0.30
muduo,8,50,214849.5,0.20,1.70
muduo,8,100,211271.7,0.50,3.60
muduo,8,500,212327.8,2.20,19.30
muduo,8,1000,199699.4,4.60,39.30
muduo,8,1500,207188.3,6.40,58.80
muduo,8,2000,200622.0,8.70,68.30
muduo,16,1,21910.9,0.00,0.20
muduo,16,10,136178.5,0.10,0.30
muduo,16,50,235580.9,0.20,1.50
muduo,16,100,243411.6,0.40,3.10
muduo,16,500,212271.6,2.20,18.10
muduo,16,1000,202286.7,4.50,36.30
muduo,16,1500,192272.6,7.00,63.20
muduo,16,2000,182382.0,9.40,72.70
