threads,sessions,blockSize,throughput_mbps,avg_msg_size
1,1,64,3.71,64.0
1,1,256,14.63,256.0
1,1,1024,58.23,1024.0
1,1,4096,268.85,4096.0
1,1,16384,848.92,16384.0
1,10,64,24.21,64.0
1,10,256,93.57,256.0
1,10,1024,360.41,1024.0
1,10,4096,1324.25,4096.0
1,10,16384,4053.15,16384.0
1,100,64,23.27,64.0
1,100,256,92.09,256.0
1,100,1024,369.24,1024.0
1,100,4096,1311.48,4096.0
1,100,16384,3892.11,16384.0
1,500,64,22.37,64.0
1,500,256,91.61,256.0
1,500,1024,350.67,1024.0
1,500,4096,1241.75,4096.0
1,500,16384,2981.59,16384.0
1,1000,64,21.83,64.0
1,1000,256,82.23,256.0
1,1000,1024,323.01,1024.0
1,1000,4096,1065.04,4096.0
1,1000,16384,2384.67,16384.0
2,1,64,4.15,64.0
2,1,256,14.64,256.0
2,1,1024,74.34,1024.0
2,1,4096,233.54,4096.0
2,1,16384,773.51,16384.0
2,10,64,37.29,64.0
2,10,256,105.41,256.0
2,10,1024,556.54,1024.0
2,10,4096,1555.68,4096.0
2,10,16384,5599.61,16384.0
2,100,64,39.13,64.0
2,100,256,136.87,256.0
2,100,1024,492.04,1024.0
2,100,4096,1650.85,4096.0
2,100,16384,5647.12,16384.0
2,500,64,32.56,64.0
2,500,256,144.87,256.0
2,500,1024,573.75,1024.0
2,500,4096,1979.07,4096.0
2,500,16384,4964.09,16384.0
2,1000,64,35.74,64.0
2,1000,256,128.94,256.0
2,1000,1024,490.92,1024.0
2,1000,4096,1649.96,4096.0
2,1000,16384,3940.73,16384.0
4,1,64,4.43,64.0
4,1,256,15.99,256.0
4,1,1024,73.01,1024.0
4,1,4096,256.13,4096.0
4,1,16384,814.61,16384.0
4,10,64,31.56,64.0
4,10,256,165.90,256.0
4,10,1024,465.98,1024.0
4,10,4096,2131.18,4096.0
4,10,16384,7702.67,16384.0
4,100,64,43.29,64.0
4,100,256,174.95,256.0
4,100,1024,677.41,1024.0
4,100,4096,2315.16,4096.0
4,100,16384,6370.87,16384.0
4,500,64,43.93,64.0
4,500,256,172.32,256.0
4,500,1024,655.25,1024.0
4,500,4096,2335.68,4096.0
4,500,16384,6091.14,16384.0
4,1000,64,43.41,64.0
4,1000,256,183.88,256.0
4,1000,1024,684.40,1024.0
4,1000,4096,2163.62,4096.0
4,1000,16384,4558.25,16384.0
8,1,64,3.85,64.0
8,1,256,15.29,256.0
8,1,1024,65.55,1024.0
8,1,4096,256.45,4096.0
8,1,16384,765.12,16384.0
8,10,64,30.34,64.0
8,10,256,100.26,256.0
8,10,1024,445.71,1024.0
8,10,4096,1659.61,4096.0
8,10,16384,5700.46,16384.0
8,100,64,76.81,64.0
8,100,256,242.51,256.0
8,100,1024,888.82,1024.0
8,100,4096,3096.15,4096.0
8,100,16384,8679.48,16384.0
8,500,64,61.10,64.0
8,500,256,248.38,256.0
8,500,1024,938.20,1024.0
8,500,4096,3307.62,4096.0
8,500,16384,7809.20,16384.0
8,1000,64,58.58,64.0
8,1000,256,239.94,256.0
8,1000,1024,881.20,1024.0
8,1000,4096,2772.65,4096.0
8,1000,16384,6927.24,16384.0
16,1,64,3.90,64.0
16,1,256,15.32,256.0
16,1,1024,69.66,1024.0
16,1,4096,250.75,4096.0
16,1,16384,746.24,16384.0
16,10,64,26.29,64.0
16,10,256,102.56,256.0
16,10,1024,401.28,1024.0
16,10,4096,1492.97,4096.0
16,10,16384,4344.70,16384.0
16,100,64,116.73,64.0
16,100,256,353.80,256.0
16,100,1024,883.34,1024.0
16,100,4096,3008.37,4096.0
16,100,16384,7715.10,16384.0
16,500,64,65.18,64.0
16,500,256,249.63,256.0
16,500,1024,917.15,1024.0
16,500,4096,3105.81,4096.0
16,500,16384,8151.58,16384.0
16,1000,64,61.59,64.0
16,1000,256,247.73,256.0
16,1000,1024,967.57,1024.0
16,1000,4096,3042.23,4096.0
16,1000,16384,7734.46,16384.0
