threads,sessions,blockSize,throughput_mbps,avg_msg_size
1,1,64,4.94,64.0
1,1,256,21.02,256.0
1,1,1024,79.72,1024.0
1,1,4096,338.16,4096.0
1,1,16384,912.05,16384.0
1,10,64,20.79,64.0
1,10,256,78.06,256.0
1,10,1024,301.42,1024.0
1,10,4096,1151.02,4096.0
1,10,16384,3851.10,16384.0
1,100,64,20.94,64.0
1,100,256,86.37,256.0
1,100,1024,337.85,1024.0
1,100,4096,1211.70,4096.0
1,100,16384,3656.59,16384.0
1,500,64,20.58,64.0
1,500,256,87.07,256.0
1,500,1024,344.03,1024.0
1,500,4096,1172.25,4096.0
1,500,16384,3002.82,16384.0
1,1000,64,20.26,64.0
1,1000,256,79.77,256.0
1,1000,1024,301.66,1024.0
1,1000,4096,1066.80,4096.0
1,1000,16384,2384.30,16384.0
2,1,64,10.67,64.0
2,1,256,42.49,256.0
2,1,1024,155.48,1024.0
2,1,4096,537.93,4096.0
2,1,16384,1523.80,16384.0
2,10,64,35.28,64.0
2,10,256,141.73,256.0
2,10,1024,554.34,1024.0
2,10,4096,2017.37,4096.0
2,10,16384,6329.25,16384.0
2,100,64,37.34,64.0
2,100,256,140.75,256.0
2,100,1024,571.41,1024.0
2,100,4096,2110.97,4096.0
2,100,16384,6328.74,16384.0
2,500,64,36.92,64.0
2,500,256,143.94,256.0
2,500,1024,479.75,1024.0
2,500,4096,2036.18,4096.0
2,500,16384,5568.26,16384.0
2,1000,64,35.46,64.0
2,1000,256,148.76,256.0
2,1000,1024,585.99,1024.0
2,1000,4096,1879.72,4096.0
2,1000,16384,4454.31,16384.0
4,1,64,10.44,64.0
4,1,256,39.78,256.0
4,1,1024,158.28,1024.0
4,1,4096,565.05,4096.0
4,1,16384,1587.07,16384.0
4,10,64,58.23,64.0
4,10,256,225.31,256.0
4,10,1024,768.38,1024.0
4,10,4096,2830.58,4096.0
4,10,16384,8291.00,16384.0
4,100,64,61.13,64.0
4,100,256,244.99,256.0
4,100,1024,953.12,1024.0
4,100,4096,3419.99,4096.0
4,100,16384,10413.84,16384.0
4,500,64,61.54,64.0
4,500,256,247.39,256.0
4,500,1024,911.84,1024.0
4,500,4096,3286.00,4096.0
4,500,16384,9294.09,16384.0
4,1000,64,60.72,64.0
4,1000,256,240.11,256.0
4,1000,1024,924.75,1024.0
4,1000,4096,3174.39,4096.0
4,1000,16384,7331.99,16384.0
8,1,64,11.29,64.0
8,1,256,45.02,256.0
8,1,1024,171.66,1024.0
8,1,4096,600.89,4096.0
8,1,16384,1688.24,16384.0
8,10,64,59.46,64.0
8,10,256,199.43,256.0
8,10,1024,720.08,1024.0
8,10,4096,2487.63,4096.0
8,10,16384,7642.05,16384.0
8,100,64,76.57,64.0
8,100,256,298.50,256.0
8,100,1024,1168.54,1024.0
8,100,4096,3968.06,4096.0
8,100,16384,12482.40,16384.0
8,500,64,77.91,64.0
8,500,256,304.66,256.0
8,500,1024,1171.15,1024.0
8,500,4096,4157.81,4096.0
8,500,16384,11326.05,16384.0
8,1000,64,77.66,64.0
8,1000,256,302.48,256.0
8,1000,1024,1178.20,1024.0
8,1000,4096,3846.39,4096.0
8,1000,16384,8177.29,16384.0
16,1,64,11.51,64.0
16,1,256,46.29,256.0
16,1,1024,175.74,1024.0
16,1,4096,615.09,4096.0
16,1,16384,1710.16,16384.0
16,10,64,57.79,64.0
16,10,256,178.75,256.0
16,10,1024,697.46,1024.0
16,10,4096,2468.64,4096.0
16,10,16384,6897.72,16384.0
16,100,64,98.60,64.0
16,100,256,375.33,256.0
16,100,1024,1478.04,1024.0
16,100,4096,4868.75,4096.0
16,100,16384,13723.84,16384.0
16,500,64,101.55,64.0
16,500,256,398.95,256.0
16,500,1024,1519.90,1024.0
16,500,4096,5204.97,4096.0
16,500,16384,13664.03,16384.0
16,1000,64,100.32,64.0
16,1000,256,374.31,256.0
16,1000,1024,1479.70,1024.0
16,1000,4096,5074.52,4096.0
16,1000,16384,10941.22,16384.0
