threads,sessions,blockSize,throughput_mbps,avg_msg_size
1,1,64,5.90,64.0
1,1,256,24.49,256.0
1,1,1024,85.73,1024.0
1,1,4096,344.91,4096.0
1,1,16384,1011.14,16384.0
1,10,64,21.68,64.0
1,10,256,84.07,256.0
1,10,1024,316.48,1024.0
1,10,4096,1163.77,4096.0
1,10,16384,3749.66,16384.0
1,100,64,20.78,64.0
1,100,256,85.16,256.0
1,100,1024,294.68,1024.0
1,100,4096,1199.58,4096.0
1,100,16384,3180.81,16384.0
1,500,64,21.23,64.0
1,500,256,84.80,256.0
1,500,1024,338.33,1024.0
1,500,4096,1204.37,4096.0
1,500,16384,2837.56,16384.0
1,1000,64,20.04,64.0
1,1000,256,72.39,256.0
1,1000,1024,294.11,1024.0
1,1000,4096,943.29,4096.0
1,1000,16384,2017.59,16384.0
2,1,64,3.75,64.0
2,1,256,14.94,256.0
2,1,1024,58.93,1024.0
2,1,4096,209.87,4096.0
2,1,16384,604.23,16384.0
2,10,64,22.04,64.0
2,10,256,76.00,256.0
2,10,1024,285.51,1024.0
2,10,4096,1105.59,4096.0
2,10,16384,2916.95,16384.0
2,100,64,27.15,64.0
2,100,256,111.27,256.0
2,100,1024,439.43,1024.0
2,100,4096,1653.01,4096.0
2,100,16384,5071.82,16384.0
2,500,64,30.61,64.0
2,500,256,120.15,256.0
2,500,1024,475.70,1024.0
2,500,4096,1709.59,4096.0
2,500,16384,4792.28,16384.0
2,1000,64,31.58,64.0
2,1000,256,125.55,256.0
2,1000,1024,488.06,1024.0
2,1000,4096,1695.25,4096.0
2,1000,16384,3606.77,16384.0
4,1,64,2.32,64.0
4,1,256,8.76,256.0
4,1,1024,36.75,1024.0
4,1,4096,132.09,4096.0
4,1,16384,493.60,16377.0
4,10,64,26.56,64.0
4,10,256,109.25,256.0
4,10,1024,394.88,1024.0
4,10,4096,1479.22,4096.0
4,10,16384,4479.81,16383.9
4,100,64,32.58,64.0
4,100,256,126.30,256.0
4,100,1024,512.27,1024.0
4,100,4096,1883.92,4096.0
4,100,16384,4957.21,16384.0
4,500,64,31.34,64.0
4,500,256,123.13,256.0
4,500,1024,531.21,1024.0
4,500,4096,1962.22,4096.0
4,500,16384,5882.24,16384.0
4,1000,64,34.36,64.0
4,1000,256,141.22,256.0
4,1000,1024,541.60,1024.0
4,1000,4096,1983.37,4096.0
4,1000,16384,5185.73,16384.0
8,1,64,2.11,64.0
8,1,256,8.25,256.0
8,1,1024,32.47,1024.0
8,1,4096,120.99,4096.0
8,1,16384,499.57,16384.0
8,10,64,18.03,64.0
8,10,256,73.33,256.0
8,10,1024,260.73,1024.0
8,10,4096,1063.45,4096.0
8,10,16384,3287.77,16384.0
8,100,64,34.53,64.0
8,100,256,117.90,256.0
8,100,1024,482.29,1024.0
8,100,4096,1853.00,4096.0
8,100,16384,6024.51,16384.0
8,500,64,33.12,64.0
8,500,256,126.76,256.0
8,500,1024,514.63,1024.0
8,500,4096,1901.67,4096.0
8,500,16384,6278.99,16384.0
8,1000,64,33.10,64.0
8,1000,256,132.53,256.0
8,1000,1024,532.28,1024.0
8,1000,4096,2001.51,4096.0
8,1000,16384,5791.36,16384.0
16,1,64,2.37,64.0
16,1,256,9.69,256.0
16,1,1024,30.90,1024.0
16,1,4096,118.09,4096.0
16,1,16384,440.17,16384.0
16,10,64,20.09,64.0
16,10,256,73.50,256.0
16,10,1024,240.40,1024.0
16,10,4096,0.00,0.0
16,10,16384,3242.27,16383.9
16,100,64,25.86,64.0
16,100,256,103.05,256.0
16,100,1024,415.81,1024.0
16,100,4096,1588.61,4096.0
16,100,16384,5688.96,16384.0
16,500,64,26.30,64.0
16,500,256,101.29,256.0
16,500,1024,436.50,1024.0
16,500,4096,1674.80,4096.0
16,500,16384,6195.12,16384.0
16,1000,64,28.35,64.0
16,1000,256,113.17,256.0
16,1000,1024,445.51,1024.0
16,1000,4096,1786.24,4096.0
16,1000,16384,6052.11,16384.0
