threads,sessions,blockSize,throughput_mbps,avg_msg_size
1,1,64,3.04,64.0
1,1,256,9.10,256.0
1,1,1024,24.53,1024.0
1,1,4096,35.59,1024.0
1,1,16384,41.01,1024.0
1,10,64,2.95,64.0
1,10,256,11.54,256.0
1,10,1024,45.31,1024.0
1,10,4096,49.45,1024.0
1,10,16384,51.56,1024.0
1,100,64,4.97,64.0
1,100,256,19.21,256.0
1,100,1024,47.02,1024.0
1,100,4096,49.08,1024.0
1,100,16384,47.26,1024.0
1,500,64,0.00,0.0
1,500,256,11.14,256.0
1,500,1024,46.01,1024.0
1,500,4096,44.26,1024.0
1,500,16384,0.00,0.0
1,1000,64,2.27,64.0
1,1000,256,8.94,256.0
1,1000,1024,35.95,1024.0
1,1000,4096,33.27,1024.0
1,1000,16384,35.17,1024.0
2,1,64,1.26,64.0
2,1,256,5.48,256.0
2,1,1024,23.35,1024.0
2,1,4096,36.44,1024.0
2,1,16384,35.89,1024.0
2,10,64,4.85,64.0
2,10,256,20.33,256.0
2,10,1024,79.48,1024.0
2,10,4096,82.56,1024.0
2,10,16384,86.06,1024.0
2,100,64,5.31,64.0
2,100,256,20.92,256.0
2,100,1024,84.43,1024.0
2,100,4096,86.92,1024.0
2,100,16384,87.28,1024.0
2,500,64,5.37,64.0
2,500,256,21.24,256.0
2,500,1024,84.71,1024.0
2,500,4096,84.10,1024.0
2,500,16384,82.76,1024.0
2,1000,64,4.99,64.0
2,1000,256,19.18,256.0
2,1000,1024,75.53,1024.0
2,1000,4096,76.52,1024.0
2,1000,16384,75.80,1024.0
4,1,64,1.44,64.0
4,1,256,6.29,256.0
4,1,1024,22.38,1024.0
4,1,4096,32.35,1024.0
4,1,16384,36.06,1024.0
4,10,64,7.24,64.0
4,10,256,25.98,256.0
4,10,1024,110.08,1024.0
4,10,4096,128.43,1024.0
4,10,16384,128.55,1024.0
4,100,64,8.21,64.0
4,100,256,32.87,256.0
4,100,1024,130.64,1024.0
4,100,4096,130.36,1024.0
4,100,16384,128.84,1024.0
4,500,64,8.09,64.0
4,500,256,31.28,256.0
4,500,1024,127.66,1024.0
4,500,4096,126.87,1024.0
4,500,16384,124.29,1024.0
4,1000,64,7.78,64.0
4,1000,256,29.27,256.0
4,1000,1024,118.83,1024.0
4,1000,4096,120.01,1024.0
4,1000,16384,116.78,1024.0
8,1,64,1.32,64.0
8,1,256,6.11,256.0
8,1,1024,24.39,1024.0
8,1,4096,34.65,1024.0
8,1,16384,35.91,1024.0
8,10,64,6.82,64.0
8,10,256,25.57,256.0
8,10,1024,111.78,1024.0
8,10,4096,177.50,1024.0
8,10,16384,179.51,1024.0
8,100,64,10.94,64.0
8,100,256,43.41,256.0
8,100,1024,171.94,1024.0
8,100,4096,174.43,1024.0
8,100,16384,172.55,1024.0
8,500,64,10.64,64.0
8,500,256,42.79,256.0
8,500,1024,170.83,1024.0
8,500,4096,171.18,1024.0
8,500,16384,170.10,1024.0
8,1000,64,10.61,64.0
8,1000,256,42.73,256.0
8,1000,1024,168.50,1024.0
8,1000,4096,167.76,1024.0
8,1000,16384,168.56,1024.0
16,1,64,1.56,64.0
16,1,256,6.42,256.0
16,1,1024,24.59,1024.0
16,1,4096,36.00,1024.0
16,1,16384,40.06,1024.0
16,10,64,7.63,64.0
16,10,256,31.23,256.0
16,10,1024,119.61,1024.0
16,10,4096,189.52,1024.0
16,10,16384,192.96,1024.0
16,100,64,8.61,64.0
16,100,256,33.78,256.0
16,100,1024,134.73,1024.0
16,100,4096,133.10,1024.0
16,100,16384,133.96,1024.0
16,500,64,0.00,0.0
16,500,256,35.04,256.0
16,500,1024,138.90,1024.0
16,500,4096,137.62,1024.0
16,500,16384,0.00,0.0
16,1000,64,8.39,64.0
16,1000,256,32.84,256.0
16,1000,1024,131.92,1024.0
16,1000,4096,130.17,1024.0
16,1000,16384,129.13,1024.0
