threads,sessions,blockSize,throughput_mbps,avg_msg_size
1,1,64,7.80,64.0
1,1,256,32.25,256.0
1,1,1024,127.73,1024.0
1,1,4096,460.91,4096.0
1,1,16384,1257.93,16384.0
1,10,64,20.62,64.0
1,10,256,85.47,256.0
1,10,1024,323.17,1024.0
1,10,4096,1234.18,4096.0
1,10,16384,3823.65,16384.0
1,100,64,23.76,64.0
1,100,256,94.94,256.0
1,100,1024,373.90,1024.0
1,100,4096,1410.98,4096.0
1,100,16384,4186.33,16384.0
1,500,64,24.68,64.0
1,500,256,99.07,256.0
1,500,1024,381.49,1024.0
1,500,4096,1345.23,4096.0
1,500,16384,3440.87,16384.0
1,1000,64,24.01,64.0
1,1000,256,96.66,256.0
1,1000,1024,353.63,1024.0
1,1000,4096,1158.00,4096.0
1,1000,16384,2540.09,16384.0
2,1,64,7.21,64.0
2,1,256,29.47,256.0
2,1,1024,110.79,1024.0
2,1,4096,390.37,4096.0
2,1,16384,1346.91,16384.0
2,10,64,35.91,64.0
2,10,256,140.21,256.0
2,10,1024,518.03,1024.0
2,10,4096,1916.74,4096.0
2,10,16384,6765.56,16384.0
2,100,64,37.59,64.0
2,100,256,152.08,256.0
2,100,1024,524.16,1024.0
2,100,4096,1759.10,4096.0
2,100,16384,5357.33,16384.0
2,500,64,34.89,64.0
2,500,256,147.77,256.0
2,500,1024,588.66,1024.0
2,500,4096,1941.65,4096.0
2,500,16384,4902.48,16384.0
2,1000,64,35.56,64.0
2,1000,256,143.24,256.0
2,1000,1024,575.99,1024.0
2,1000,4096,1806.82,4096.0
2,1000,16384,3970.92,16384.0
4,1,64,7.08,64.0
4,1,256,26.12,256.0
4,1,1024,105.99,1024.0
4,1,4096,402.37,4096.0
4,1,16384,1336.82,16384.0
4,10,64,40.02,64.0
4,10,256,135.68,256.0
4,10,1024,579.96,1024.0
4,10,4096,2253.10,4096.0
4,10,16384,8160.64,16384.0
4,100,64,54.19,64.0
4,100,256,205.42,256.0
4,100,1024,701.80,1024.0
4,100,4096,2587.53,4096.0
4,100,16384,6645.72,16384.0
4,500,64,49.47,64.0
4,500,256,189.94,256.0
4,500,1024,816.80,1024.0
4,500,4096,2996.01,4096.0
4,500,16384,7837.66,16384.0
4,1000,64,55.13,64.0
4,1000,256,219.70,256.0
4,1000,1024,845.18,1024.0
4,1000,4096,2876.29,4096.0
4,1000,16384,6170.74,16384.0
8,1,64,7.21,64.0
8,1,256,28.42,256.0
8,1,1024,110.83,1024.0
8,1,4096,400.36,4096.0
8,1,16384,1479.25,16384.0
8,10,64,35.46,64.0
8,10,256,137.07,256.0
8,10,1024,581.76,1024.0
8,10,4096,1988.45,4096.0
8,10,16384,6197.56,16384.0
8,100,64,72.76,64.0
8,100,256,284.08,256.0
8,100,1024,1161.78,1024.0
8,100,4096,4004.86,4096.0
8,100,16384,10707.83,16384.0
8,500,64,79.05,64.0
8,500,256,311.80,256.0
8,500,1024,1196.65,1024.0
8,500,4096,4026.58,4096.0
8,500,16384,10734.23,16384.0
8,1000,64,78.06,64.0
8,1000,256,310.85,256.0
8,1000,1024,1184.97,1024.0
8,1000,4096,3936.21,4096.0
8,1000,16384,8754.80,16384.0
16,1,64,8.16,64.0
16,1,256,31.60,256.0
16,1,1024,124.54,1024.0
16,1,4096,452.03,4096.0
16,1,16384,1521.04,16384.0
16,10,64,39.82,64.0
16,10,256,137.24,256.0
16,10,1024,534.33,1024.0
16,10,4096,1957.96,4096.0
16,10,16384,6561.60,16384.0
16,100,64,96.69,64.0
16,100,256,378.22,256.0
16,100,1024,1446.18,1024.0
16,100,4096,4939.65,4096.0
16,100,16384,13336.90,16384.0
16,500,64,104.90,64.0
16,500,256,413.55,256.0
16,500,1024,1578.96,1024.0
16,500,4096,5358.86,4096.0
16,500,16384,13949.21,16384.0
16,1000,64,104.96,64.0
16,1000,256,413.98,256.0
16,1000,1024,1581.86,1024.0
16,1000,4096,5249.27,4096.0
16,1000,16384,11744.80,16384.0
